Year,Value,
1986,3052393617,
1987,3392021011,
1988,3702393617,
1989,3863563830,
1990,4229787234,
1991,4616223404,
1992,4751063830,
1993,5200265957,
1994,5567553457,
1995,5849467819,
1996,6101861436,
1997,6349202394,
1998,6183776596,
1999,6621010372,
2000,9062906915,
2001,8976207713,
2002,9632155053,
2003,11074822074,
2004,13150166755,
2005,15968726862,
2006,18505053191,
2007,21730000000,
2008,25710877660,
2009,22938218085,
2010,25713271277,
2011,28776595745,
2012,30749308511,
2013,32539547872,
2014,33387712766,
2015,31125851064,
2016,32179069149,
1960,4274893913,
1961,4817580184,
1962,5081413340,
1963,5319458351,
1964,5386054619,
1965,5906636557,
1966,6439687598,
1967,7253575399,
1968,7483685473,
1969,8471006101,
1970,8992721809,
1971,8751842840,
1972,6288245867,
1973,8086725729,
1974,12512460520,
1975,19448348073,
1976,10117113333,
1977,9651149302,
1978,13281767143,
1979,15565480322,
1980,18138049096,
1981,20249694002,
1982,18525399202,
1983,17609048822,
1984,18920840000,
1985,22278423077,
1986,21774033333,
1987,24298032258,
1988,26579005760,
1989,28781714764,
1990,31598341234,
1991,30957483291,
1992,31708873955,
1993,33166520085,
1994,33768662171,
1995,37939748051,
1996,46438482370,
1997,48244308275,
1998,49984559471,
1999,51270569884,
2000,53369787319,
2001,53991289844,
2002,54724081491,
2003,60158929188,
2004,65108544250,
2005,69442943089,
2006,71819083684,
2007,79611888213,
2008,91631278239,
2009,1.02478E+11,
2010,1.15279E+11,
2011,1.28638E+11,
2012,1.33356E+11,
2013,1.4999E+11,
2014,1.72885E+11,
2015,1.95079E+11,
2016,2.21415E+11,
1990,2023318252,
1991,2007109829,
1992,1950900000,
1993,2046189032,
1994,2151295182,
1995,2261969870,
1996,2411872918,
1997,2549296475,
1998,2874459305,
1999,3012081738,
2000,3121500000,
2001,3116650000,
2002,3169600000,
2003,3274850000,
2004,3514350000,
2005,3897300000,
2006,4246600000,
2007,4523750000,
2008,4607300000,
2009,4434050000,
2010,4461650000,
2011,4660900000,
2012,4656350000,
2013,4612500000,
2014,4608350000,
2015,4584150000,
2016,4529050000,
1990,21650000000,
1991,17420000000,
1992,17120370370,
1993,16286280992,
1994,14932192011,
1995,13972630804,
1996,14756861538,
1997,14128412417,
1998,15222014828,
1999,12138485329,
2000,12736856828,
2001,12354820144,
2002,14594925393,
2003,17825436035,
2004,23141587718,
2005,30210091837,
2006,36961821894,
2007,45275747861,
2008,60763483146,
2009,49209523810,
2010,57222490769,
2011,61757788945,
2012,65685102555,
2013,75527984234,
2014,78813839984,
2015,56454734397,
2016,47407217531,
1960,11658722591,
1961,12400145222,
1962,13264015675,
1963,14260017387,
1964,15960106681,
1965,17371457608,
1966,18651883472,
1967,19992040788,
1968,21376353113,
1969,23710735895,
1970,26849148286,
1971,29981290025,
1972,37408591330,
1973,47999363072,
1974,56333010460,
1975,66029748931,
1976,71494539498,
1977,83283328419,
1978,1.01788E+11,
1979,1.16938E+11,
1980,1.27508E+11,
1981,1.05291E+11,
1982,92588895020,
1983,87650915976,
1984,83795680815,
1985,86730038793,
1986,1.20661E+11,
1987,1.50194E+11,
1988,1.63168E+11,
1989,1.651E+11,
1990,2.06431E+11,
1991,2.11638E+11,
1992,2.36038E+11,
1993,2.25925E+11,
1994,2.46195E+11,
1995,2.89567E+11,
1996,2.81358E+11,
1997,2.54814E+11,
1998,2.60602E+11,
1999,2.60202E+11,
2000,2.37905E+11,
2001,2.37842E+11,
2002,2.5886E+11,
2003,3.19003E+11,
2004,3.70885E+11,
2005,3.87366E+11,
2006,4.09813E+11,
2007,4.71821E+11,
2008,5.18626E+11,
2009,4.84553E+11,
2010,4.83548E+11,
2011,5.27008E+11,
2012,4.97884E+11,
2013,5.20925E+11,
2014,5.31076E+11,
2015,4.552E+11,
2016,4.67956E+11,
1960,28071888.56,
1961,29964370.71,
1962,31856922.86,
1963,33749405.01,
1964,36193826.12,
1965,40069930.07,
1966,44405594.41,
1967,47379310.34,
1968,44910179.64,
1969,47305389.22,
1970,53233532.93,
1971,59207317.07,
1972,66062500,
1973,78343558.28,
1974,103216374.3,
1975,118066298.3,
1976,96905829.6,
1977,117650000,
1978,136300000,
1979,151800000,
1980,194750000,
1981,192900000,
1982,179250000,
1983,189000000,
1984,210900000,
1985,209150000,
1986,227850000,
1987,276550000,
1988,314900000,
1989,363150000,
1990,413050000,
1991,444720750,
1992,518239100,
1993,559858250,
1994,580863700,
1995,620140400,
1996,641383800,
1997,654314350,
1998,688992450,
1999,732732350,
2000,832072450,
2001,871860600,
2002,932551850,
2003,990374050,
2004,1057845500,
2005,1114222550,
2006,1217467600,
2007,1290573400,
2008,1368625150,
2009,1336957250,
2010,1397113450,
2011,1486712300,
2012,1573618750,
2013,1613705850,
2014,1706497950,
2015,1742545900,
2016,1741100000,
1960,226195579.4,
1961,235668222.4,
1962,236434906.8,
1963,253927646.5,
1964,269818988.3,
1965,289908720.6,
1966,302925280.8,
1967,306222000.4,
1968,326323097.4,
1969,330748211.5,
1970,333627758.2,
1971,335072975.2,
1972,410331901,
1973,504376035.7,
1974,554654787,
1975,676870140.3,
1976,698408244.4,
1977,750049739.2,
1978,928843304.8,
1979,1186231265,
1980,1405251547,
1981,1291119965,
1982,1267778489,
1983,1095348303,
1984,1051133927,
1985,1045712703,
1986,1336102041,
1987,1562412030,
1988,1620246187,
1989,1502294411,
1990,1959965244,
1991,1986437860,
1992,1695315306,
1993,2274557914,
1994,1598075932,
1995,2169627251,
1996,2361116588,
1997,2268301538,
1998,2455092582,
1999,2689787918,
2000,2569186643,
2001,2680213931,
2002,3054571082,
2003,3905366188,
2004,4521424807,
2005,4803702821,
2006,5142380779,
2007,5969535132,
2008,7132787397,
2009,7097198712,
2010,6970240895,
2011,7814081156,
2012,8152554487,
2013,9156748441,
2014,9707432016,
2015,8290986804,
2016,8583031398,
1960,84466654.08,
1961,89249986.7,
1962,94149985.97,
1963,96366652.31,
1964,107566650.6,
1965,114339049,
1966,134173373.8,
1967,155102984.6,
1968,150000000,
1969,164900000,
1970,186300000,
1971,211100000,
1972,235400000,
1973,269500000,
1974,312600000,
1975,345000000,
1976,386300000,
1977,447000000,
1978,475800000,
1979,517200000,
1980,613299968,
1981,739100032,
1982,785500032,
1983,889400000,
1984,985699968,
1985,1039500032,
1986,1173500032,
1987,1296499968,
1988,1415100032,
1989,1501500032,
1990,1592400000,
1991,1634899968,
1992,1679900032,
1993,1820359936,
1994,1867160064,
1995,2030749952,
1996,2695390000,
1997,2932827000,
1998,3130748000,
1999,3324433000,
2000,3480219000,
2001,3680483000,
2002,3937228000,
2003,4186525000,
2004,4484703000,
2005,4868136000,
2006,5414299000,
2007,5895048000,
2008,6109928000,
2009,5806378000,
2010,5744414000,
2011,5550771000,
2012,5537537000,
2013,5573710000,
1980,135653295.2,
1981,146391639.7,
1982,148934334,
1983,165585940.6,
1984,169264991.2,
1985,172217502,
1986,201375725.6,
1987,253182453.7,
1988,283855833.3,
1989,275949889.1,
1990,299787275.8,
1991,250045839.9,
1992,250794359.6,
1993,235239570.4,
1994,270801565.2,
1995,303053462.8,
1996,316420860.9,
1997,365964500.1,
1998,376955087.3,
1999,419035810.5,
2000,439158233.2,
2001,476360697.2,
2002,537050133.7,
2003,622026107.8,
2004,702682019,
2005,818869145.1,
2006,897731524.9,
2007,1196091805,
2008,1258332337,
2009,1264758198,
2010,1585472534,
2011,1820207626,
2012,1823692110,
2013,1798333726,
2014,1944782821,
2015,2059258653,
2016,2212638830,
1960,563110051.9,
1961,612518906.8,
1962,669722541.3,
1963,721142957.3,
1964,812543072.5,
1965,908874537,
1966,994044553.9,
1967,1084059815,
1968,908874537,
1969,964615698.7,
1970,1017171717,
1971,1095454545,
1972,1257615645,
1973,1263018491,
1974,2100249875,
1975,2404697651,
1976,2732083958,
1977,3227436282,
1978,3758220890,
1979,4421343606,
1980,4537487843,
1981,5891606676,
1982,5594118400,
1983,5422656262,
1984,6169481549,
1985,5377277407,
1986,3959379488,
1987,4347956299,
1988,4597615563,
1989,4715978868,
1990,4867582620,
1991,5343274312,
1992,5643893347,
1993,5734676561,
1994,5981244887,
1995,6715220507,
1996,7396966657,
1997,7925673448,
1998,8497545598,
1999,8285075872,
2000,8397912509,
2001,8141537938,
2002,7905485216,
2003,8082364868,
2004,8773451739,
2005,9549077869,
2006,11451869165,
2007,13120159976,
2008,16674324634,
2009,17339992165,
2010,19649631308,
2011,23963033444,
2012,27084497540,
2013,30659338929,
2014,32996187988,
2015,33000198263,
2016,33806395514,
1994,1255802469,
1995,1866572954,
1996,2786045322,
1997,3671816504,
1998,4116699437,
1999,4685729739,
2000,5505984456,
2001,5748990666,
2002,6651226179,
2003,8370020196,
2004,10022840635,
2005,11225138297,
2006,12866524918,
2007,15776422673,
2008,19112739664,
2009,17613836210,
2010,17176781337,
2011,18644723861,
2012,17226849297,
2013,18178503835,
2014,18558343508,
2015,16209702864,
2016,16910277134,
1960,30412308.99,
1961,32902336.64,
1962,35643207.63,
1963,38091150.57,
1964,41613969.05,
1965,45790869.75,
1966,51464435.15,
1967,58646443.51,
1968,66248256.62,
1969,77356914.08,
1970,96245114.46,
1971,126957494.4,
1972,165258093.9,
1973,244129088,
1974,306033848.4,
1975,355172413.8,
1976,372010119.6,
1977,451603325.4,
1978,590376720.6,
1979,819877300.6,
1980,1060923829,
1981,1073861599,
1982,1014907255,
1983,1172258182,
1984,1240796365,
1985,1114764007,
1986,1392634772,
1987,1965274882,
1988,2644536804,
1989,3083800685,
1990,3790567052,
1991,3942792837,
1992,4146513722,
1993,4160086253,
1994,4259330999,
1995,4730611067,
1996,4847752843,
1997,5020214747,
1998,4790458837,
1999,5484257417,
2000,5788329609,
2001,5489608300,
2002,5438857107,
2003,7511582173,
2004,8957467707,
2005,9931134941,
2006,10126940513,
2007,10939053367,
2008,10945070442,
2009,10267133178,
2010,12786654366,
2011,15682926896,
2012,14686278707,
2013,14915780539,
2014,16259445053,
2015,14430573505,
2016,15581137274,
1960,15165569913,
1961,15236854859,
1962,19926293839,
1963,23021477292,
1964,21211892260,
1965,21790035117,
1966,27062716578,
1967,30591834054,
1968,33875881876,
1969,37458898244,
1970,42327600098,
1971,49204456700,
1972,58539008786,
1973,79279057731,
1974,1.05136E+11,
1975,1.23709E+11,
1976,1.52678E+11,
1977,1.76171E+11,
1978,2.00801E+11,
1979,2.24969E+11,
1980,2.35025E+11,
1981,2.63561E+11,
1982,2.81682E+11,
1983,2.03305E+11,
1984,2.09024E+11,
1985,2.22943E+11,
1986,2.68137E+11,
1987,2.94084E+11,
1988,3.30397E+11,
1989,4.25595E+11,
1990,4.61952E+11,
1991,6.0286E+11,
1992,4.00599E+11,
1993,4.37799E+11,
1994,5.58112E+11,
1995,7.85643E+11,
1996,8.50426E+11,
1997,8.83199E+11,
1998,8.63723E+11,
1999,5.99389E+11,
2000,6.55421E+11,
2001,5.59373E+11,
2002,5.07963E+11,
2003,5.5832E+11,
2004,6.69316E+11,
2005,8.9163E+11,
2006,1.10764E+12,
2007,1.39708E+12,
2008,1.69582E+12,
2009,1.66702E+12,
2010,2.20887E+12,
2011,2.6162E+12,
2012,2.46519E+12,
2013,2.47281E+12,
2014,2.45599E+12,
2015,1.80365E+12,
2016,1.79619E+12,
1965,114040245.7,
1966,132758395.4,
1967,139030445.6,
1968,160819286.6,
1969,161211289.7,
1970,179080099.3,
1971,197523179.2,
1972,270818555.8,
1973,433092003.6,
1974,1073577086,
1975,1168304306,
1976,1423061357,
1977,1732721161,
1978,1941600704,
1979,2803780006,
1980,4928824958,
1981,4366213850,
1982,4264252336,
1983,3844723142,
1984,3782523088,
1985,3523612563,
1986,2358592817,
1987,2754463438,
1988,2690717551,
1989,2985467979,
1990,3520551724,
1991,3701667053,
1992,4183548189,
1993,4105706152,
1994,4087337960,
1995,4734020037,
1996,5115602837,
1997,5197332974,
1998,4051147228,
1999,4600000000,
2000,6001153306,
2001,5601090584,
2002,5843329108,
2003,6557333085,
2004,7872333215,
2005,9531402848,
2006,11470703002,
2007,12247694247,
2008,14393099069,
2009,10732366286,
2010,13707370737,
2011,18525319978,
2012,19048495519,
2013,18093829923,
2014,17098342541,
2015,12930394938,
2016,11400653732,
1980,19839230769,
1981,19870000000,
1982,19342000000,
1983,16563666667,
1984,17594944444,
1985,17155421053,
1986,20249294118,
1987,28101000000,
1988,22555941176,
1989,21988444444,
1990,20632090909,
1991,10943548387,
1992,10350515464,
1993,10829710145,
1994,9697416974,
1995,13063422619,
1996,10109404160,
1997,11195630537,
1998,14630974778,
1999,13495062850,
2000,13148099185,
2001,14135393876,
2002,16360346654,
2003,21074775206,
2004,26094622564,
2005,29821662537,
2006,34304448150,
2007,44765733380,
2008,54409138498,
2009,51884481410,
2010,50610031136,
2011,57418391042,
2012,53903028252,
2013,55758744571,
2014,56732006512,
2015,50199117547,
2016,53237882473,
1960,330442817.2,
1961,350247237.1,
1962,379567178.3,
1963,394040749.1,
1964,410321785.6,
1965,422916848.4,
1966,433889831.6,
1967,450753993.2,
1968,460442864.2,
1969,478298781.5,
1970,458404330.1,
1971,482411279,
1972,578595584,
1973,674773821.2,
1974,751133642.6,
1975,939972703.5,
1976,976547572.2,
1977,1131225279,
1978,1475584037,
1979,1748480982,
1980,1928720390,
1981,1775842680,
1982,1754450379,
1983,1600278756,
1984,1459880353,
1985,1552493414,
1986,2036303381,
1987,2369835439,
1988,2616040646,
1989,2615588546,
1990,3101301781,
1991,3135045684,
1992,2240264712,
1993,2332018011,
1994,1895290965,
1995,2379518099,
1996,2586550747,
1997,2447669404,
1998,2804902724,
1999,2993753187,
2000,2628920056,
2001,2812845514,
2002,3205592290,
2003,4205691222,
2004,4838551100,
2005,5462709498,
2006,5844669846,
2007,6771277871,
2008,8369637065,
2009,8369175126,
2010,8979966766,
2011,10724063458,
2012,11166063467,
2013,11947176342,
2014,12377391463,
2015,10419303761,
2016,11693235542,
1960,195999990,
1961,202999992,
1962,213500006,
1963,232749998,
1964,260750008,
1965,158994963,
1966,165444571.4,
1967,178297142.9,
1968,183200000,
1969,190205714.3,
1970,242732571.4,
1971,252842285.7,
1972,246804571.4,
1973,304339839.6,
1974,345263492.1,
1975,420986666.7,
1976,448412753.6,
1977,547535555.6,
1978,610225555.6,
1979,782496666.7,
1980,919726666.7,
1981,969046666.7,
1982,1013222222,
1983,1082926304,
1984,987143931.2,
1985,1149979286,
1986,1201725497,
1987,1131466494,
1988,1082403219,
1989,1113924130,
1990,1132101253,
1991,1167398478,
1992,1083037671,
1993,938632612,
1994,925030590.2,
1995,1000428394,
1996,869033856.3,
1997,972896267.9,
1998,893770806.1,
1999,808077223.4,
2000,870486065.9,
2001,876794723.1,
2002,825394490.2,
2003,784654423.6,
2004,915257323.4,
2005,1117257279,
2006,1273180597,
2007,1356078278,
2008,1611634332,
2009,1739781489,
2010,2026864469,
2011,2355652126,
2012,2472384907,
2013,2714505635,
2014,3093647227,
2015,3066681387,
2016,3007029030,
1980,142246875.5,
1981,139468114.6,
1982,140630758.6,
1983,138476239.4,
1984,132019065,
1985,137728155.2,
1986,190651208,
1987,235253171.8,
1988,264308140.3,
1989,267448513.1,
1990,306891107.3,
1991,319827058.6,
1992,357160985.3,
1993,490417389.7,
1994,406580652.3,
1995,487148993.5,
1996,501979069.3,
1997,490608657.9,
1998,521910560.5,
1999,592416703.1,
2000,539227277.6,
2001,563024383.3,
2002,620974660.2,
2003,813963830.2,
2004,924318490.8,
2005,971977088.2,
2006,1107891063,
2007,1513934037,
2008,1789333749,
2009,1711817182,
2010,1664310770,
2011,1864824081,
2012,1751888562,
2013,1850951315,
2014,1858121723,
2015,1574288668,
2016,1617467436,
1960,637142865.7,
1961,642857134.3,
1962,660000008.6,
1963,728571437.1,
1964,782857128.6,
1965,868571428.6,
1966,914285714.3,
1967,962857134.3,
1968,1065714249,
1969,978873232.4,
1970,718401157.7,
1971,969911421.4,
1972,505549441.4,
1973,702899156,
1974,588443893.7,
1993,2533727592,
1994,2791435272,
1995,3441205693,
1996,3506695720,
1997,3443413389,
1998,3120425503,
1999,3517242477,
2000,3654031716,
2001,3984000517,
2002,4284028483,
2003,4658246918,
2004,5337833248,
2005,6293046162,
2006,7274595707,
2007,8639235842,
2008,10351914093,
2009,10401851851,
2010,11242275199,
2011,12829541141,
2012,14038383450,
2013,15449630419,
2014,16777820333,
2015,18049954289,
2016,20016747754,
1960,618740988,
1961,657597382.8,
1962,699373701.2,
1963,723624365.3,
1964,782384527.8,
1965,814139855.8,
1966,853268771.1,
1967,934079050.3,
1968,1053077155,
1969,1152418515,
1970,1160002261,
1971,1233991075,
1972,1430951332,
1973,1758727395,
1974,2255496995,
1975,2752771044,
1976,3076592431,
1977,3366368665,
1978,4409920644,
1979,5811444661,
1980,6740756569,
1981,7636345827,
1982,7322914570,
1983,7381854747,
1984,7801858825,
1985,8148223604,
1986,10621158533,
1987,12302471429,
1988,12493286762,
1989,11140055364,
1990,11151578051,
1991,12434370005,
1992,11396310990,
1993,15498179313,
1994,10600157684,
1995,9643953175,
1996,10513387442,
1997,10833497458,
1998,10612847429,
1999,11198378749,
2000,10083937740,
2001,10371327756,
2002,11579343088,
2003,14548845765,
2004,17430933517,
2005,17944084201,
2006,19356046328,
2007,22365265026,
2008,26409781215,
2009,26017925552,
2010,26143818510,
2011,29337006833,
2012,29104437355,
2013,32348149947,
2014,34942948737,
2015,30916218544,
2016,32217497470,
1960,41093453545,
1961,40767969454,
1962,41978852041,
1963,44657169109,
1964,48882938810,
1965,53909570342,
1966,60358632035,
1967,64768831262,
1968,70759031842,
1969,77887510242,
1970,87896095224,
1971,99271961478,
1972,1.13083E+11,
1973,1.31322E+11,
1974,1.60409E+11,
1975,1.73834E+11,
1976,2.06576E+11,
1977,2.11612E+11,
1978,2.18633E+11,
1979,2.43072E+11,
1980,2.73854E+11,
1981,3.06215E+11,
1982,3.13507E+11,
1983,3.40548E+11,
1984,3.55373E+11,
1985,3.64756E+11,
1986,3.77438E+11,
1987,4.31317E+11,
1988,5.07354E+11,
1989,5.65056E+11,
1990,5.9393E+11,
1991,6.10328E+11,
1992,5.92388E+11,
1993,5.77171E+11,
1994,5.78139E+11,
1995,6.04032E+11,
1996,6.28546E+11,
1997,6.52825E+11,
1998,6.31813E+11,
1999,6.76083E+11,
2000,7.42293E+11,
2001,7.3638E+11,
2002,7.57951E+11,
2003,8.92381E+11,
2004,1.0232E+12,
2005,1.16936E+12,
2006,1.31542E+12,
2007,1.46498E+12,
2008,1.54913E+12,
2009,1.37115E+12,
2010,1.61346E+12,
2011,1.78865E+12,
2012,1.82429E+12,
2013,1.84263E+12,
2014,1.79288E+12,
2015,1.55281E+12,
2016,1.52976E+12,
1996,1012444074,
2006,3207032513,
1960,112155598.9,
1961,123134584.5,
1962,124482748.9,
1963,129379097.9,
1964,142025069.5,
1965,150574816.3,
1966,157930041.9,
1967,163820538.9,
1968,191767437,
1969,188039191.3,
1970,189106554.5,
1971,201450768.4,
1972,230317908,
1973,271183061.4,
1974,281398668.2,
1975,378660016.3,
1976,451152450,
1977,507298120.7,
1978,610578523.8,
1979,700764892.7,
1980,797048028.8,
1981,694803502.7,
1982,748312283.7,
1983,658679394.9,
1984,637820620.7,
1985,864849765.1,
1986,1122265026,
1987,1200991826,
1988,1264899368,
1989,1233930277,
1990,1440711396,
1991,1377375031,
1992,1411917558,
1993,1278781167,
1994,851174350.6,
1995,1115389732,
1996,1007791186,
1997,937741468,
1998,967338348.7,
1999,999477510.7,
2000,914500299.1,
2001,931833302.8,
2002,991387870.1,
2003,1139754799,
2004,1270080251,
2005,1350301057,
2006,1460562038,
2007,1698125618,
2008,1985239277,
2009,1981728141,
2010,1986014846,
2011,2212699747,
2012,2184183758,
2013,1518565219,
2014,1702898940,
2015,1583776760,
2016,1756124677,
1960,313582727.6,
1961,333975336.6,
1962,357635713.9,
1963,371767002.7,
1964,392247517.6,
1965,416926303,
1966,432794922.5,
1967,449826323,
1968,453980096.7,
1969,471635620.9,
1970,469266736.6,
1971,501866730.7,
1972,585427545.7,
1973,647199482.8,
1974,652532796.1,
1975,864602103.3,
1976,866044961,
1977,935360466.4,
1978,1113920123,
1979,1004316495,
1980,1033002402,
1981,876937559.7,
1982,834369860.4,
1983,832415806,
1984,919103735.3,
1985,1033069710,
1986,1067828247,
1987,1163426851,
1988,1482597299,
1989,1433686310,
1990,1738605558,
1991,1877138042,
1992,1881847677,
1993,1463251055,
1994,1179837955,
1995,1445919970,
1996,1607345450,
1997,1544689503,
1998,1744794457,
1999,1534673583,
2000,1385058162,
2001,1709347793,
2002,1987622279,
2003,2736666516,
2004,4414929220,
2005,6646663561,
2006,7422102656,
2007,8638711443,
2008,10351932604,
2009,9253484108,
2010,10657705536,
2011,12156380425,
2012,12368071039,
2013,12949854263,
2014,13922223234,
2015,10888798114,
2016,9600761474,
1998,5945677377,
1999,6262740657,
2000,6439703435,
2001,6232906290,
2002,6663669065,
2003,7332244898,
2004,8553643354,
2005,8827272727,
2006,9676172953,
2007,11514605842,
1960,4110000000,
1961,4609727273,
1962,5416272727,
1963,5668187500,
1964,5982347826,
1965,6026593750,
1966,7072641026,
1967,7013196078,
1968,7167086957,
1969,8377093023,
1970,9126309735,
1971,10884114754,
1972,11853817308,
1973,16836261173,
1974,16210404184,
1975,7622217352,
1976,10341925249,
1977,13962893422,
1978,15989933708,
1979,21803696985,
1980,29036709872,
1981,34509878044,
1982,25325893206,
1983,20355959237,
1984,19622527480,
1985,17702885394,
1986,18891048819,
1987,22255407685,
1988,26040229793,
1989,29885685143,
1990,33113887818,
1991,37834793730,
1992,45964327559,
1993,49297773130,
1994,57008425296,
1995,73447063319,
1996,78039572222,
1997,84952360922,
1998,81577430181,
1999,75173794497,
2000,77860932152,
2001,70979923960,
2002,69736811435,
2003,75643459840,
2004,99210392858,
2005,1.22965E+11,
2006,1.54788E+11,
2007,1.73606E+11,
2008,1.79638E+11,
2009,1.72389E+11,
2010,2.18538E+11,
2011,2.52252E+11,
2012,2.67122E+11,
2013,2.78384E+11,
2014,2.6099E+11,
2015,2.42518E+11,
2016,2.47028E+11,
1960,59716467625,
1961,50056868958,
1962,47209359006,
1963,50706799903,
1964,59708343489,
1965,70436266147,
1966,76720285970,
1967,72881631327,
1968,70846535056,
1969,79705906247,
1970,92602973434,
1971,99800958648,
1972,1.13688E+11,
1973,1.38544E+11,
1974,1.44182E+11,
1975,1.63432E+11,
1976,1.5394E+11,
1977,1.74938E+11,
1978,1.49541E+11,
1979,1.78281E+11,
1980,1.91149E+11,
1981,1.95866E+11,
1982,2.0509E+11,
1983,2.30687E+11,
1984,2.59947E+11,
1985,3.09488E+11,
1986,3.00758E+11,
1987,2.72973E+11,
1988,3.12354E+11,
1989,3.47768E+11,
1990,3.60858E+11,
1991,3.83373E+11,
1992,4.26916E+11,
1993,4.44731E+11,
1994,5.64325E+11,
1995,7.34548E+11,
1996,8.63747E+11,
1997,9.61604E+11,
1998,1.02904E+12,
1999,1.094E+12,
2000,1.21135E+12,
2001,1.3394E+12,
2002,1.47055E+12,
2003,1.66029E+12,
2004,1.95535E+12,
2005,2.28597E+12,
2006,2.75213E+12,
2007,3.55218E+12,
2008,4.59821E+12,
2009,5.10995E+12,
2010,6.10062E+12,
2011,7.57255E+12,
2012,8.56055E+12,
2013,9.60722E+12,
2014,1.04824E+13,
2015,1.10647E+13,
2016,1.11991E+13,
1960,4040948154,
1961,4552914000,
1962,4968603736,
1963,4838841456,
1964,5992169467,
1965,5790247619,
1966,5452762963,
1967,5727195020,
1968,5918455410,
1969,6405427874,
1970,7198360460,
1971,7820380971,
1972,8671358733,
1973,10315760000,
1974,12370029584,
1975,13098633902,
1976,15341403660,
1977,19470960619,
1978,23263511958,
1979,27940411250,
1980,33400735644,
1981,36388366869,
1982,38968039722,
1983,38729822782,
1984,38253120738,
1985,34894411352,
1986,34942489684,
1987,36373307085,
1988,39212550050,
1989,39540080200,
1990,40274204595,
1991,41239551378,
1992,49279585355,
1993,55802538219,
1994,81703500846,
1995,92507279383,
1996,97160109278,
1997,1.0666E+11,
1998,98443739941,
1999,86186158685,
2000,99886577331,
2001,98203546156,
2002,97933391976,
2003,94684584163,
2004,1.17075E+11,
2005,1.46566E+11,
2006,1.6259E+11,
2007,2.07416E+11,
2008,2.43982E+11,
2009,2.33822E+11,
2010,2.87018E+11,
2011,3.35415E+11,
2012,3.6966E+11,
2013,3.80192E+11,
2014,3.78196E+11,
2015,2.9152E+11,
2016,2.82463E+11,
1980,123505640.9,
1981,114271897.3,
1982,107089552.3,
1983,111519676,
1984,107489822.7,
1985,114490697.6,
1986,162487763.9,
1987,196433684,
1988,207476554.8,
1989,198733185.9,
1990,250030760.8,
1991,246823428.9,
1992,266191040.4,
1993,263568114.4,
1994,185761822.6,
1995,231896229.6,
1996,230495751.4,
1997,212099634.7,
1998,215394066.1,
1999,222580453.8,
2000,203846427.7,
2001,220093812.2,
2002,246737679.5,
2003,317562269.4,
2004,368143118.7,
2005,380372892.6,
2006,406111873.5,
2007,462453582.9,
2008,523134897,
2009,524157261,
2010,530493353.2,
2011,586281766.8,
2012,570865941.2,
2013,618663921.9,
2014,647720707.1,
2015,565689764.6,
2016,616654490.4,
COD,1960,3359404132
COD,1961,3086746936
COD,1962,3779841410
COD,1963,6213185774
COD,1964,2881545277
COD,1965,4043901724
COD,1966,4532660145
COD,1967,3384063360
COD,1968,3909780525
COD,1969,5032434971
COD,1970,4877684933
COD,1971,5594770352
COD,1972,6173712809
COD,1973,7870239464
COD,1974,9596960174
COD,1975,10237343153
COD,1976,9648583220
COD,1977,12344424776
COD,1978,15372607995
COD,1979,15068422242
COD,1980,14394927493
COD,1981,12537821040
COD,1982,13651667371
COD,1983,11006712649
COD,1984,7857729193
COD,1985,7195042616
COD,1986,8095367168
COD,1987,7661625473
COD,1988,8861299977
COD,1989,9021862775
COD,1990,9349764580
COD,1991,9087965282
COD,1992,8206227134
COD,1993,10707792340
COD,1994,5820383306
COD,1995,5643439262
COD,1996,5771454940
COD,1997,6090840548
COD,1998,6215591270
COD,1999,4711259427
COD,2000,19088046306
COD,2001,7438189100
COD,2002,8728038525
COD,2003,8937567060
COD,2004,10297483481
COD,2005,11964484668
COD,2006,14296507096
COD,2007,16364029327
COD,2008,19206060270
COD,2010,20523285374
COD,2011,23849009738
COD,2012,27463220380
COD,2013,30014813756
COD,2014,34028119333
COD,2015,36188521107
COD,2016,31930856402
COG,1960,131731862.6
COG,1961,151675739.2
COG,1962,166521239.9
COG,1963,172233430.9
COG,1964,185693724.8
COG,1965,198318063.9
COG,1966,220613582.4
COG,1967,237397428.3
COG,1968,251247458
COG,1969,265040036.1
COG,1970,274960699.9
COG,1971,322128019.3
COG,1972,410669262.9
COG,1973,541973362.5
COG,1974,585364635.4
COG,1975,767102679
COG,1976,754549600.5
COG,1977,765224030.6
COG,1978,878771771.3
COG,1979,1198749666
COG,1980,1705796850
COG,1981,1993512326
COG,1982,2160640567
COG,1983,2097274290
COG,1984,2193581366
COG,1985,2160872541
COG,1986,1849268215
COG,1987,2297753649
COG,1988,2212536313
COG,1989,2389593022
COG,1990,2798746051
COG,1991,2724853508
COG,1992,2933222706
COG,1993,1918970178
COG,1994,1769365439
COG,1995,2116003868
COG,1996,2540697538
COG,1997,2322719101
COG,1998,1949481381
COG,1999,2353909442
COG,2000,3219910666
COG,2001,2794259783
COG,2002,3019993739
COG,2003,3495868808
COG,2004,4648628921
COG,2005,6087003176
COG,2006,7731261311
COG,2007,8394688284
COG,2008,11859013281
COG,2009,9593537551
COG,2010,12007880439
COG,2011,14425607180
COG,2012,13677930124
COG,2013,14085851348
COG,2014,14177437982
COG,2015,8553154580
COG,2016,7833508879
1960,507513830,
1961,490325181.6,
